DF1000029349,预期目标,JS51,VARCHAR,N,N,,,200,,TB16042018,SR10422029.DB11222016.TB16042018.DF1000029349,admin,15-JUL-18 05.05.21.000000000 PM,,,,,千元,N,N,公开
DF1000026948,主键,SHEETID,NUMBER,Y,N,N,Y,,,TB15622018,SR10422015.DB10832015.TB15622018.DF1000026948,admin,05-JUL-18 06.51.23.000000000 PM,7,30,,,,N,N,公开
DF1000029350,建成后对区域科技体系的贡献,JS52,VARCHAR,N,N,,,200,,TB16042018,SR10422029.DB11222016.TB16042018.DF1000029350,admin,15-JUL-18 05.05.21.000000000 PM,,,,,千元,N,N,公开
DF1000026949,,MC_SHEET,VARCHAR,N,N,,,200,,TB15622018,SR10422015.DB10832015.TB15622018.DF1000026949,admin,05-JUL-18 06.51.23.000000000 PM,,,,,,N,N,公开
DF1000029351,上传图片一,IMG1,VARCHAR,N,N,,,200,,TB16042018,SR10422029.DB11222016.TB16042018.DF1000029351,admin,15-JUL-18 05.05.21.000000000 PM,,,,,,N,N,公开
DF1000029352,上传图片二,IMG2,VARCHAR,N,N,,,200,,TB16042018,SR10422029.DB11222016.TB16042018.DF1000029352,admin,15-JUL-18 05.05.21.000000000 PM,,,,,千元,N,N,公开
DF1000011702,科技活动人员合计_其中：全时人员,QJ09_1,VARCHAR,N,N,,,200,,TB11622018,SR10422013.DB10562012.TB11622018.DF1000011702,kejiting,20-MAR-18 01.19.49.960000000 PM,,,,,人,N,N,公开
DF1000011703,（一）企业内部用于科技活动的非政府经费支出合计,QJ23,VARCHAR,N,N,,,200,,TB11622018,SR10422013.DB10562012.TB11622018.DF1000011703,kejiting,20-MAR-18 01.19.49.975000000 PM,,,,,千元,N,N,公开
DF1000012795,企业在海外设立的技术研发机构所在国家,QI19_2,VARCHAR,N,N,,,200,,TB11732018,SR10422013.DB10532014.TB11732018.DF1000012795,kejiting,22-MAR-18 11.09.45.262000000 AM,,,,,,N,N,公开
DF1000012577,国际合作形式,QE12,VARCHAR,N,N,,,200,,TB11712018,SR10422013.DB10552013.TB11712018.DF1000012577,kejiting,22-MAR-18 10.52.12.075000000 AM,,,,,,N,N,公开
DF1000012578,国内合作单位,QE13,VARCHAR,N,N,,,200,,TB11712018,SR10422013.DB10552013.TB11712018.DF1000012578,kejiting,22-MAR-18 10.52.12.090000000 AM,,,,,,N,N,公开
DF1000012918,年末资产总计_其中：流动资产合计,QC25,VARCHAR,N,N,,,200,,TB11752018,SR10422013.DB10572015.TB11752018.DF1000012918,kejiting,22-MAR-18 11.23.10.106000000 AM,,,,,千元,N,N,公开
DF1000012919,年末资产总计_其中：固定资产合计,QC27,VARCHAR,N,N,,,200,,TB11752018,SR10422013.DB10572015.TB11752018.DF1000012919,kejiting,22-MAR-18 11.23.10.106000000 AM,,,,,千元,N,N,公开
DF1000012920,年末资产总计_其中：固定资产原价,QC28,VARCHAR,N,N,,,200,,TB11752018,SR10422013.DB10572015.TB11752018.DF1000012920,kejiting,22-MAR-18 11.23.10.122000000 AM,,,,,千元,N,N,公开
DF1000012921,年末资产总计_其中：累计折旧,QC65,VARCHAR,N,N,,,200,,TB11752018,SR10422013.DB10572015.TB11752018.DF1000012921,kejiting,22-MAR-18 11.23.10.122000000 AM,,,,,千元,N,N,公开
DF1000027742,减排废物,XY309,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027742,admin,14-JUL-18 08.58.04.000000000 PM,,,,,               千吨,N,N,公开
DF1000010863,数据代表地域,TB_REGION,VARCHAR,N,N,N,N,200,,TB11532018,SR10422013.DB10522016.TB11532018.DF1000010863,kejiting,19-MAR-18 02.55.28.000000000 PM,,,,,,,,
DF1000027743,本年度项目已取得的直接经济效益-其中：工业增加值,XY401,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027743,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027744,产品营业收入,XY411,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027744,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027745,其中：出口创汇额,XY412,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027745,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千美元,N,N,公开
DF1000027746,净利润额,XY421,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027746,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027747,实缴税金总额,XY431,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027747,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027748,减免税额,XY441,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027748,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027749,创造产值,XY501,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027749,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027750,创造利润,XY502,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027750,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027751,创造税收,XY503,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027751,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027752,带动出口额,XY504,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027752,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027753,带动就业人数,XY505,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027753,admin,14-JUL-18 08.58.04.000000000 PM,,,,,人,N,N,公开
DF1000027754,形成高新企业数,XY506,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027754,admin,14-JUL-18 08.58.04.000000000 PM,,,,,家,N,N,公开
DF1000027755,新增产值,XY601,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027755,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027756,销售收入,XY602,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027756,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027757,出口额,XY603,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027757,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千美元,N,N,公开
DF1000027758,技术服务收入,XY604,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027758,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027759,增产总量-农作物,XY1001,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027759,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027760,增产总量-畜牧业产品,XY1021,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027760,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027761,增产总量-水果,XY1011,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027761,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027762,增产总量-渔业产品,XY1031,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027762,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027763,获国家级科技奖,CG100,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027763,admin,14-JUL-18 08.58.04.000000000 PM,,,,,项,N,N,公开
DF1000027764,新增就业人数,CG071,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027764,admin,14-JUL-18 08.58.04.000000000 PM,,,,,人,N,N,公开
DF1000027765,科技型农村企业-年销售收入,CY002,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027765,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027766,科技型农村企业-“万元示范田”每亩纯收入,CY003,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027766,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027767,专业合作社-合作社成员数量,CY011,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027767,admin,14-JUL-18 08.58.04.000000000 PM,,,,,户,N,N,公开
DF1000027768,专业合作社-“万元示范田”每亩纯收入,CY012,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027768,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027769,农村产品网店-销售产品数量,CY021,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027769,admin,14-JUL-18 08.58.04.000000000 PM,,,,,个,N,N,公开
DF1000027770,农村产品网店-销售收入,CY022,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027770,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
DF1000027771,农村科技超市-销售收入,CY031,VARCHAR,N,N,,,200,,TB15792018,SR10422029.DB11202015.TB15792018.DF1000027771,admin,14-JUL-18 08.58.04.000000000 PM,,,,,千元,N,N,公开
